# Typo_Code	Correct_Code
aabe	aabw
aabs	aabd
aadb	aadv
aadw	aade
aaeu	aawu
aafe	aafw
aajo	aajp
aakw	aake
aalo	aali
aalp	aalo
aame	aamw
aaog	aaig
aaok	aapk
aasg	aadg
aask	aadk
aaso	aasi
aasv	aadv
aasw	aase
aasz	aadz
aaub	aauv
aava	aaba
aavk	aabk
aavo	aabo
aavp	aabp
aavw	aabw
aawr	aaer
aaxv	aaxb
aayo	aayi
aazo	aazi
aazw	aaze
aiao	aiai
aibe	aive
aibg	aivg
aibo	aibi
aidf	aisf
aidp	aido
aidw	aide
aiea	aiwa
aiej	aiwj
aieo	aiwo
aigp	aigo
aigw	aige
aihb	aihv
aihw	aihe
aiiw	aiie
aijo	aiji
ailo	aili
aime	aimw
aimo	aimi
aims	aimd
aino	aini
aiqo	aiqi
aisa	aida
aisc	aidc
aise	aide
aiso	aisi
aisz	aidz
aito	aiti
aitw	aite
aivi	aibi
aivm	aibm
aivw	aive
aiwp	aiwo
aiwr	aier
aixo	aixi
aixv	aixb
aiyd	aiys
aiyp	aiyo
aizs	aizd
anbe	anve
anbi	anvi
anbl	anvl
anbo	anvo
anbs	anvs
anbz	anvz
andr	ansr
andw	ande
anef	anwf
aneo	anwo
angw	ange
anhb	anhv
anjo	anji
ankw	anke
anlo	anli
anmp	anmo
anno	anni
anoa	ania
anod	anpd
anof	anif
anog	anig
anoh	anih
anow	anpw
anpe	anpw
anps	anpd
anqo	anqi
ansa	anda
ansc	andc
ansj	andj
ansk	andk
ansm	andm
ansy	andy
anup	anuo
anvm	anbm
anvp	anvo
anvw	anve
anwp	anwo
anxo	anxi
anxv	anxb
anyd	anys
anyo	anyi
anyw	anye
anzs	anzd
anzw	anze
aoai	aiai
aobm	aibm
aobo	aobi
aobs	aobd
aobu	aovu
aobz	aovz
aoda	aida
aodo	aodi
aodw	aode
aodz	aidz
aoee	aiee
aoeh	aowh
aoer	aier
aoge	aige
aogj	aigj
aogp	aogo
aohb	aohv
aohc	aihc
aohz	aihz
aoji	aiji
aojp	aijp
aojq	aijq
aokj	aikj
aokk	aikk
aoku	aiku
aokw	aoke
aolb	ailb
aolh	ailh
aolm	ailm
aolv	ailv
aolw	aole
aoly	aily
aomc	aimc
aomd	aimd
aome	aomw
aomo	aomi
aomu	aimu
aoni	aini
aonv	ainv
aoqk	aiqk
aoqo	aoqi
aoqq	aiqq
aosc	aodc
aose	aode
aosf	aisf
aosk	aodk
aosm	aodm
aota	aita
aote	aite
aotj	aitj
aotk	aitk
aotn	aitn
aotp	aoto
aoua	aiua
aouf	aiuf
aouh	aiuh
aouo	aoui
aovd	aobd
aovg	aivg
aovo	aovi
aowa	aiwa
aowj	aiwj
aowo	aiwo
aoxi	aixi
aoxn	aixn
aoya	aiya
aoyj	aiyj
aoyo	aiyo
aoys	aiys
aoyt	aiyt
aoyv	aoyb
aoyw	aoye
aozd	aizd
aozo	aozi
apbd	aobd
apbi	aobi
apcc	aocc
apdc	aodc
apdd	aodd
apde	aode
apdi	aodi
apdk	aodk
apdm	aodm
apgo	aogo
aphj	aohj
aphv	aohv
aphx	aohx
apig	aoig
apjl	aojl
apjn	aojn
apke	aoke
apkz	aokz
apla	aola
apld	aold
aple	aole
apmf	aomf
apmi	aomi
apmj	aomj
apmw	aomw
apnc	aonc
apqi	aoqi
