#jei修正为jie
ajei	ajie
ijei	ijie
njei	njie
ojei	ojie
gjei	gjie
ejei	ejie
ujei	ujie
rjei	rjie
vjei	vjie
#len修正为leng
nlne	nleng
olne	oleng
glne	gleng
ulne	uleng
ilne	ileng
alne	aleng
elne	eleng
rlne	rleng
lena	lenga
lenb	lengb
lenc	lengc
lend	lengd
lenf	lengf
lenh	lengh
lenj	lengj
lenk	lengk
lenl	lengl
lenm	lengm
lenn	lengn
lenp	lengp
lenq	lengq
lenr	lengr
lens	lengs
lent	lengt
lenw	lengw
lenx	lengx
leny	lengy
lenz	lengz
#xai修正为xia
axai	axia
ixai	ixia
nxai	nxia
oxai	oxia
exai	exia
gxai	gxia
uxai	uxia
rxai	rxia
vxai	vxia
#spu修正为sou
aspu	asou
uspu	usou
ospu	osou
rspu	rsou
gspu	gsou
ispu	isou
espu	esou
nspu	nsou
adpu	adou
agpu	agou
aypu	ayou
idpu	idou
igpu	igou
ihpu	ihou
ikpu	ikou
iypu	iyou
izpu	izou
ndpu	ndou
nhpu	nhou
nkpu	nkou
nmpu	nmou
nrpu	nrou
ntpu	ntou
nypu	nyou
gtpu	gtou
ogpu	ogou
okpu	okou
otpu	otou
oypu	oyou
akpu	akou
alpu	alou
atpu	atou
ilpu	ilou
impu	imou
irpu	irou
itpu	itou
nlpu	nlou
nzpu	nzou
grpu	grou
gzpu	gzou
odpu	odou
ohpu	ohou
olpu	olou
orpu	orou
ozpu	ozou
ifpu	ifou
gdpu	gdou
gkpu	gkou
glpu	glou
gypu	gyou
edpu	edou
egpu	egou
ehpu	ehou
erpu	erou
etpu	etou
eypu	eyou
ezpu	ezou
ggpu	ggou
ghpu	ghou
udpu	udou
ugpu	ugou
uhpu	uhou
ukpu	ukou
ulpu	ulou
umpu	umou
utpu	utou
uypu	uyou
uzpu	uzou
ompu	omou
elpu	elou
ahpu	ahou
gmpu	gmou
urpu	urou
ucpu	ucou
ampu	amou
arpu	arou
gfpu	gfou
ekpu	ekou
rdpu	rdou
rgpu	rgou
rhpu	rhou
rlpu	rlou
rtpu	rtou
rypu	ryou
rzpu	rzou
azpu	azou
nfpu	nfou
empu	emou
eppu	epou
ncpu	ncou
efpu	efou
icpu	icou
vdpu	vdou
vhpu	vhou
vmpu	vmou
vrpu	vrou
vtpu	vtou
vypu	vyou
gcpu	gcou
ofpu	ofou
acpu	acou
ufpu	ufou
rkpu	rkou
rrpu	rrou
vzpu	vzou
ippu	ipou
nppu	npou
appu	apou
ecpu	ecou
oppu	opou
#siu修正为sou
asiu	asou
usiu	usou
osiu	osou
rsiu	rsou
gsiu	gsou
isiu	isou
esiu	esou
nsiu	nsou
agiu	agou
ayiu	ayou
igiu	igou
ihiu	ihou
ikiu	ikou
iyiu	iyou
iziu	izou
ngiu	ngou
nhiu	nhou
nkiu	nkou
nmiu	nmou
nriu	nrou
ntiu	ntou
nyiu	nyou
gtiu	gtou
ogiu	ogou
okiu	okou
otiu	otou
oyiu	oyou
akiu	akou
atiu	atou
imiu	imou
iriu	irou
itiu	itou
nziu	nzou
griu	grou
gziu	gzou
ohiu	ohou
oriu	orou
oziu	ozou
ifiu	ifou
gkiu	gkou
gyiu	gyou
egiu	egou
ehiu	ehou
eriu	erou
etiu	etou
eyiu	eyou
eziu	ezou
ggiu	ggou
ghiu	ghou
ugiu	ugou
uhiu	uhou
ukiu	ukou
umiu	umou
utiu	utou
uyiu	uyou
uziu	uzou
omiu	omou
ahiu	ahou
gmiu	gmou
uriu	urou
uciu	ucou
amiu	amou
