# Typo_Code	Correct_Code
aabp	aabo
aadw	aade
aaeu	aawu
aaez	aawz
aaje	aajw
aakw	aake
aalo	aali
aaog	aaig
aaoy	aapy
aasb	aadb
aasg	aadg
aasl	aadl
aaso	aasi
aasv	aadv
aasw	aase
aasy	aady
aaub	aauv
aava	aaba
aavn	aabn
aavo	aabo
aavx	aabx
aavy	aaby
aavz	aabz
aawr	aaer
aayo	aayi
aazo	aazi
aazw	aaze
aiao	aiai
aibe	aive
aibg	aivg
aibo	aibi
aidf	aisf
aidv	aidb
aidw	aide
aiea	aiwa
aiej	aiwj
aieo	aiwo
aigp	aigo
aigw	aige
aiiw	aiie
aijo	aiji
aijs	aijd
ailb	ailv
aild	ails
ailo	ailp
ailw	aile
aimo	aimi
ainb	ainv
aino	aini
aiqo	aiqi
aisa	aida
aisb	aidb
aise	aide
aisk	aidk
aiso	aisi
aito	aiti
aitw	aite
aivi	aibi
aivm	aibm
aivw	aive
aiwp	aiwo
aiwr	aier
aixo	aixi
aiyd	aiys
aiyp	aiyo
aiyv	aiyb
aizv	aizb
anbd	anvd
anbe	anve
anbi	anvi
anbo	anvo
anbs	anvs
andr	ansr
andw	ande
anef	anwf
aneo	anwo
anez	anwz
angw	ange
anhb	anhv
anje	anjw
anjo	anji
ankw	anke
anlo	anli
anlw	anle
anmp	anmo
anno	anni
anoa	ania
anof	anif
anog	anig
anoh	anih
anol	anpl
anoz	anpz
anqo	anqi
ansa	anda
ansj	andj
ansk	andk
ansm	andm
ansp	andp
ansy	andy
antv	antb
anvm	anbm
anvp	anvo
anvw	anve
anwp	anwo
anxe	anxw
anxo	anxi
anxs	anxd
anyd	anys
anyo	anyi
anyw	anye
anzw	anze
aoai	aiai
aobm	aibm
aobo	aobi
aobu	aovu
aoda	aida
aodb	aidb
aodo	aodi
aodw	aode
aoee	aiee
aoeh	aowh
aoer	aier
aoge	aige
aogj	aigj
aogp	aogo
aohb	aohv
aohk	aihk
aoji	aiji
aojq	aijq
aojs	aojd
aojx	aijx
aokj	aikj
aoku	aiku
aokv	aokb
aokw	aoke
aoky	aiky
aolh	ailh
aolm	ailm
aoln	ailn
aolp	ailp
aolv	ailv
aolw	aole
aomk	aimk
aoml	aiml
aomo	aomi
aomu	aimu
aoni	aini
aonv	ainv
aoqo	aoqi
aoqq	aiqq
aoqy	aiqy
aose	aode
aosf	aisf
aosk	aodk
aosm	aodm
aosy	aody
aota	aita
